0xA35E    γ    U+03B3    0xCEB3    0xB303
0xA35F    δ    U+03B4    0xCEB4    0xB403
0xA360    ε    U+03B5    0xCEB5    0xB503
0xA361    ζ    U+03B6    0xCEB6    0xB603
0xA362    η    U+03B7    0xCEB7    0xB703
0xA363    θ    U+03B8    0xCEB8    0xB803
0xA364    ι    U+03B9    0xCEB9    0xB903
0xA365    κ    U+03BA    0xCEBA    0xBA03
0xA366    λ    U+03BB    0xCEBB    0xBB03
0xA367    μ    U+03BC    0xCEBC    0xBC03
0xA368    ν    U+03BD    0xCEBD    0xBD03
0xA369    ξ    U+03BE    0xCEBE    0xBE03
0xA36A    ο    U+03BF    0xCEBF    0xBF03
0xA36B    π    U+03C0    0xCF80    0xC003
0xA36C    ρ    U+03C1    0xCF81    0xC103
0xA36D    σ    U+03C3    0xCF83    0xC303
0xA36E    τ    U+03C4    0xCF84    0xC403
0xA36F    υ    U+03C5    0xCF85    0xC503
0xA370    φ    U+03C6    0xCF86    0xC603
0xA371    χ    U+03C7    0xCF87    0xC703
0xA372    ψ    U+03C8    0xCF88    0xC803
0xA373    ω    U+03C9    0xCF89    0xC903
0xA374    ㄅ    U+3105    0xE38485    0x0531
0xA375    ㄆ    U+3106    0xE38486    0x0631
0xA376    ㄇ    U+3107    0xE38487    0x0731
0xA377    ㄈ    U+3108    0xE38488    0x0831
0xA378    ㄉ    U+3109    0xE38489    0x0931
0xA379    ㄊ    U+310A    0xE3848A    0x0A31
0xA37A    ㄋ    U+310B    0xE3848B    0x0B31
0xA37B    ㄌ    U+310C    0xE3848C    0x0C31
0xA37C    ㄍ    U+310D    0xE3848D    0x0D31
0xA37D    ㄎ    U+310E    0xE3848E    0x0E31
0xA37E    ㄏ    U+310F    0xE3848F    0x0F31
0xA3A1    ㄐ    U+3110    0xE38490    0x1031
0xA3A2    ㄑ    U+3111    0xE38491    0x1131
0xA3A3    ㄒ    U+3112    0xE38492    0x1231
0xA3A4    ㄓ    U+3113    0xE38493    0x1331
0xA3A5    ㄔ    U+3114    0xE38494    0x1431
0xA3A6    ㄕ    U+3115    0xE38495    0x1531
0xA3A7    ㄖ    U+3116    0xE38496    0x1631
0xA3A8    ㄗ    U+3117    0xE38497    0x1731
0xA3A9    ㄘ    U+3118    0xE38498    0x1831
0xA3AA    ㄙ    U+3119    0xE38499    0x1931
0xA3AB    ㄚ    U+311A    0xE3849A    0x1A31
0xA3AC    ㄛ    U+311B    0xE3849B    0x1B31
0xA3AD    ㄜ    U+311C    0xE3849C    0x1C31
0xA3AE    ㄝ    U+311D    0xE3849D    0x1D31
0xA3AF    ㄞ    U+311E    0xE3849E    0x1E31
0xA3B0    ㄟ    U+311F    0xE3849F    0x1F31
0xA3B1    ㄠ    U+3120    0xE384A0    0x2031
0xA3B2    ㄡ    U+3121    0xE384A1    0x2131
0xA3B3    ㄢ    U+3122    0xE384A2    0x2231
0xA3B4    ㄣ    U+3123    0xE384A3    0x2331
0xA3B5    ㄤ    U+3124    0xE384A4    0x2431
0xA3B6    ㄥ    U+3125    0xE384A5    0x2531
0xA3B7    ㄦ    U+3126    0xE384A6    0x2631
0xA3B8    ㄧ    U+3127    0xE384A7    0x2731
0xA3B9    ㄨ    U+3128    0xE384A8    0x2831
0xA3BA    ㄩ    U+3129    0xE384A9    0x2931
0xA3BB    ˙    U+02D9    0xCB99    0xD902
0xA3BC    ˉ    U+02C9    0xCB89    0xC902
0xA3BD    ˊ    U+02CA    0xCB8A    0xCA02
0xA3BE    ˇ    U+02C7    0xCB87    0xC702
0xA3BF    ˋ    U+02CB    0xCB8B    0xCB02
0xA3E1  €   U+20AC  0xE282AC    0xAC20    
0xA440    一    U+4E00    0xE4B880    0x004E
0xA441    乙    U+4E59    0xE4B999    0x594E
0xA442    丁    U+4E01    0xE4B881    0x014E
0xA443    七    U+4E03    0xE4B883    0x034E
0xA444    乃    U+4E43    0xE4B983    0x434E
0xA445    九    U+4E5D    0xE4B99D    0x5D4E
0xA446    了    U+4E86    0xE4BA86    0x864E
0xA447    二    U+4E8C    0xE4BA8C    0x8C4E
0xA448    人    U+4EBA    0xE4BABA    0xBA4E
0xA449    儿    U+513F    0xE584BF    0x3F51
0xA44A    入    U+5165    0xE585A5    0x6551
0xA44B    八    U+516B    0xE585AB    0x6B51
0xA44C    几    U+51E0    0xE587A0    0xE051
0xA44D    刀    U+5200    0xE58880    0x0052
0xA44E    刁    U+5201    0xE58881    0x0152
0xA44F    力    U+529B    0xE58A9B    0x9B52
0xA450    匕    U+5315    0xE58C95    0x1553
0xA451    十    U+5341    0xE58D81    0x4153
0xA452    卜    U+535C    0xE58D9C    0x5C53
0xA453    又    U+53C8    0xE58F88    0xC853
0xA454    三    U+4E09    0xE4B889    0x094E
0xA455    下    U+4E0B    0xE4B88B    0x0B4E
0xA456    丈    U+4E08    0xE4B888    0x084E
0xA457    上    U+4E0A    0xE4B88A    0x0A4E
0xA458    丫    U+4E2B    0xE4B8AB    0x2B4E
0xA459    丸    U+4E38    0xE4B8B8    0x384E
0xA45A    凡    U+51E1    0xE587A1    0xE151
0xA45B    久    U+4E45    0xE4B985    0x454E
0xA45C    么    U+4E48    0xE4B988    0x484E
0xA45D    也    U+4E5F    0xE4B99F    0x5F4E
0xA45E    乞    U+4E5E    0xE4B99E    0x5E4E
0xA45F    于    U+4E8E    0xE4BA8E    0x8E4E
0xA460    亡    U+4EA1    0xE4BAA1    0xA14E
0xA461    兀    U+5140    0xE58580    0x4051
0xA462    刃    U+5203    0xE58883    0x0352
0xA463    勺    U+52FA    0xE58BBA    0xFA52
0xA464    千    U+5343    0xE58D83    0x4353
0xA465    叉    U+53C9    0xE58F89    0xC953
0xA466    口    U+53E3    0xE58FA3    0xE353
0xA467    土    U+571F    0xE59C9F    0x1F57
0xA468    士    U+58EB    0xE5A3AB    0xEB58
0xA469    夕    U+5915    0xE5A495    0x1559
0xA46A    大    U+5927    0xE5A4A7    0x2759
0xA46B    女    U+5973    0xE5A5B3    0x7359
0xA46C    子    U+5B50    0xE5AD90    0x505B
0xA46D    孑    U+5B51    0xE5AD91    0x515B
0xA46E    孓    U+5B53    0xE5AD93    0x535B
0xA46F    寸    U+5BF8    0xE5AFB8    0xF85B
0xA470    小    U+5C0F    0xE5B08F    0x0F5C
0xA471    尢    U+5C22    0xE5B0A2    0x225C
0xA472    尸    U+5C38    0xE5B0B8    0x385C
0xA473    山    U+5C71    0xE5B1B1    0x715C
0xA474    川    U+5DDD    0xE5B79D    0xDD5D
0xA475    工    U+5DE5    0xE5B7A5    0xE55D
0xA476    己    U+5DF1    0xE5B7B1    0xF15D
0xA477    已    U+5DF2    0xE5B7B2    0xF25D
0xA478    巳    U+5DF3    0xE5B7B3    0xF35D
0xA479    巾    U+5DFE    0xE5B7BE    0xFE5D
0xA47A    干    U+5E72    0xE5B9B2    0x725E
0xA47B    廾    U+5EFE    0xE5BBBE    0xFE5E
0xA47C    弋    U+5F0B    0xE5BC8B    0x0B5F
0xA47D    弓    U+5F13    0xE5BC93    0x135F
0xA47E    才    U+624D    0xE6898D    0x4D62
0xA4A1    丑    U+4E11    0xE4B891    0x114E
0xA4A2    丐    U+4E10    0xE4B890    0x104E
0xA4A3    不    U+4E0D    0xE4B88D    0x0D4E
0xA4A4    中    U+4E2D    0xE4B8AD    0x2D4E
