0xA4CB    に    U+306B    0xE381AB    0x6B30
0xA4CC    ぬ    U+306C    0xE381AC    0x6C30
0xA4CD    ね    U+306D    0xE381AD    0x6D30
0xA4CE    の    U+306E    0xE381AE    0x6E30
0xA4CF    は    U+306F    0xE381AF    0x6F30
0xA4D0    ば    U+3070    0xE381B0    0x7030
0xA4D1    ぱ    U+3071    0xE381B1    0x7130
0xA4D2    ひ    U+3072    0xE381B2    0x7230
0xA4D3    び    U+3073    0xE381B3    0x7330
0xA4D4    ぴ    U+3074    0xE381B4    0x7430
0xA4D5    ふ    U+3075    0xE381B5    0x7530
0xA4D6    ぶ    U+3076    0xE381B6    0x7630
0xA4D7    ぷ    U+3077    0xE381B7    0x7730
0xA4D8    へ    U+3078    0xE381B8    0x7830
0xA4D9    べ    U+3079    0xE381B9    0x7930
0xA4DA    ぺ    U+307A    0xE381BA    0x7A30
0xA4DB    ほ    U+307B    0xE381BB    0x7B30
0xA4DC    ぼ    U+307C    0xE381BC    0x7C30
0xA4DD    ぽ    U+307D    0xE381BD    0x7D30
0xA4DE    ま    U+307E    0xE381BE    0x7E30
0xA4DF    み    U+307F    0xE381BF    0x7F30
0xA4E0    む    U+3080    0xE38280    0x8030
0xA4E1    め    U+3081    0xE38281    0x8130
0xA4E2    も    U+3082    0xE38282    0x8230
0xA4E3    ゃ    U+3083    0xE38283    0x8330
0xA4E4    や    U+3084    0xE38284    0x8430
0xA4E5    ゅ    U+3085    0xE38285    0x8530
0xA4E6    ゆ    U+3086    0xE38286    0x8630
0xA4E7    ょ    U+3087    0xE38287    0x8730
0xA4E8    よ    U+3088    0xE38288    0x8830
0xA4E9    ら    U+3089    0xE38289    0x8930
0xA4EA    り    U+308A    0xE3828A    0x8A30
0xA4EB    る    U+308B    0xE3828B    0x8B30
0xA4EC    れ    U+308C    0xE3828C    0x8C30
0xA4ED    ろ    U+308D    0xE3828D    0x8D30
0xA4EE    ゎ    U+308E    0xE3828E    0x8E30
0xA4EF    わ    U+308F    0xE3828F    0x8F30
0xA4F0    ゐ    U+3090    0xE38290    0x9030
0xA4F1    ゑ    U+3091    0xE38291    0x9130
0xA4F2    を    U+3092    0xE38292    0x9230
0xA4F3    ん    U+3093    0xE38293    0x9330
0xA5A1    ァ    U+30A1    0xE382A1    0xA130
0xA5A2    ア    U+30A2    0xE382A2    0xA230
0xA5A3    ィ    U+30A3    0xE382A3    0xA330
0xA5A4    イ    U+30A4    0xE382A4    0xA430
0xA5A5    ゥ    U+30A5    0xE382A5    0xA530
0xA5A6    ウ    U+30A6    0xE382A6    0xA630
0xA5A7    ェ    U+30A7    0xE382A7    0xA730
0xA5A8    エ    U+30A8    0xE382A8    0xA830
0xA5A9    ォ    U+30A9    0xE382A9    0xA930
0xA5AA    オ    U+30AA    0xE382AA    0xAA30
0xA5AB    カ    U+30AB    0xE382AB    0xAB30
0xA5AC    ガ    U+30AC    0xE382AC    0xAC30
0xA5AD    キ    U+30AD    0xE382AD    0xAD30
0xA5AE    ギ    U+30AE    0xE382AE    0xAE30
0xA5AF    ク    U+30AF    0xE382AF    0xAF30
0xA5B0    グ    U+30B0    0xE382B0    0xB030
0xA5B1    ケ    U+30B1    0xE382B1    0xB130
0xA5B2    ゲ    U+30B2    0xE382B2    0xB230
0xA5B3    コ    U+30B3    0xE382B3    0xB330
0xA5B4    ゴ    U+30B4    0xE382B4    0xB430
0xA5B5    サ    U+30B5    0xE382B5    0xB530
0xA5B6    ザ    U+30B6    0xE382B6    0xB630
0xA5B7    シ    U+30B7    0xE382B7    0xB730
0xA5B8    ジ    U+30B8    0xE382B8    0xB830
0xA5B9    ス    U+30B9    0xE382B9    0xB930
0xA5BA    ズ    U+30BA    0xE382BA    0xBA30
0xA5BB    セ    U+30BB    0xE382BB    0xBB30
0xA5BC    ゼ    U+30BC    0xE382BC    0xBC30
0xA5BD    ソ    U+30BD    0xE382BD    0xBD30
0xA5BE    ゾ    U+30BE    0xE382BE    0xBE30
0xA5BF    タ    U+30BF    0xE382BF    0xBF30
0xA5C0    ダ    U+30C0    0xE38380    0xC030
0xA5C1    チ    U+30C1    0xE38381    0xC130
0xA5C2    ヂ    U+30C2    0xE38382    0xC230
0xA5C3    ッ    U+30C3    0xE38383    0xC330
0xA5C4    ツ    U+30C4    0xE38384    0xC430
0xA5C5    ヅ    U+30C5    0xE38385    0xC530
0xA5C6    テ    U+30C6    0xE38386    0xC630
0xA5C7    デ    U+30C7    0xE38387    0xC730
0xA5C8    ト    U+30C8    0xE38388    0xC830
0xA5C9    ド    U+30C9    0xE38389    0xC930
0xA5CA    ナ    U+30CA    0xE3838A    0xCA30
0xA5CB    ニ    U+30CB    0xE3838B    0xCB30
0xA5CC    ヌ    U+30CC    0xE3838C    0xCC30
0xA5CD    ネ    U+30CD    0xE3838D    0xCD30
0xA5CE    ノ    U+30CE    0xE3838E    0xCE30
0xA5CF    ハ    U+30CF    0xE3838F    0xCF30
0xA5D0    バ    U+30D0    0xE38390    0xD030
0xA5D1    パ    U+30D1    0xE38391    0xD130
0xA5D2    ヒ    U+30D2    0xE38392    0xD230
0xA5D3    ビ    U+30D3    0xE38393    0xD330
0xA5D4    ピ    U+30D4    0xE38394    0xD430
0xA5D5    フ    U+30D5    0xE38395    0xD530
0xA5D6    ブ    U+30D6    0xE38396    0xD630
0xA5D7    プ    U+30D7    0xE38397    0xD730
0xA5D8    ヘ    U+30D8    0xE38398    0xD830
0xA5D9    ベ    U+30D9    0xE38399    0xD930
0xA5DA    ペ    U+30DA    0xE3839A    0xDA30
0xA5DB    ホ    U+30DB    0xE3839B    0xDB30
0xA5DC    ボ    U+30DC    0xE3839C    0xDC30
0xA5DD    ポ    U+30DD    0xE3839D    0xDD30
0xA5DE    マ    U+30DE    0xE3839E    0xDE30
0xA5DF    ミ    U+30DF    0xE3839F    0xDF30
0xA5E0    ム    U+30E0    0xE383A0    0xE030
0xA5E1    メ    U+30E1    0xE383A1    0xE130
0xA5E2    モ    U+30E2    0xE383A2    0xE230
0xA5E3    ャ    U+30E3    0xE383A3    0xE330
0xA5E4    ヤ    U+30E4    0xE383A4    0xE430
0xA5E5    ュ    U+30E5    0xE383A5    0xE530
0xA5E6    ユ    U+30E6    0xE383A6    0xE630
0xA5E7    ョ    U+30E7    0xE383A7    0xE730
0xA5E8    ヨ    U+30E8    0xE383A8    0xE830
0xA5E9    ラ    U+30E9    0xE383A9    0xE930
0xA5EA    リ    U+30EA    0xE383AA    0xEA30
0xA5EB    ル    U+30EB    0xE383AB    0xEB30
0xA5EC    レ    U+30EC    0xE383AC    0xEC30
0xA5ED    ロ    U+30ED    0xE383AD    0xED30
0xA5EE    ヮ    U+30EE    0xE383AE    0xEE30
0xA5EF    ワ    U+30EF    0xE383AF    0xEF30
0xA5F0    ヰ    U+30F0    0xE383B0    0xF030
0xA5F1    ヱ    U+30F1    0xE383B1    0xF130
0xA5F2    ヲ    U+30F2    0xE383B2    0xF230
0xA5F3    ン    U+30F3    0xE383B3    0xF330
0xA5F4    ヴ    U+30F4    0xE383B4    0xF430
0xA5F5    ヵ    U+30F5    0xE383B5    0xF530
0xA5F6    ヶ    U+30F6    0xE383B6    0xF630
0xA6A1    Α    U+0391    0xCE91    0x9103
0xA6A2    Β    U+0392    0xCE92    0x9203
0xA6A3    Γ    U+0393    0xCE93    0x9303
0xA6A4    Δ    U+0394    0xCE94    0x9403
0xA6A5    Ε    U+0395    0xCE95    0x9503
0xA6A6    Ζ    U+0396    0xCE96    0x9603
0xA6A7    Η    U+0397    0xCE97    0x9703
0xA6A8    Θ    U+0398    0xCE98    0x9803
0xA6A9    Ι    U+0399    0xCE99    0x9903
0xA6AA    Κ    U+039A    0xCE9A    0x9A03
0xA6AB    Λ    U+039B    0xCE9B    0x9B03
0xA6AC    Μ    U+039C    0xCE9C    0x9C03
0xA6AD    Ν    U+039D    0xCE9D    0x9D03
0xA6AE    Ξ    U+039E    0xCE9E    0x9E03
0xA6AF    Ο    U+039F    0xCE9F    0x9F03
0xA6B0    Π    U+03A0    0xCEA0    0xA003
0xA6B1    Ρ    U+03A1    0xCEA1    0xA103
0xA6B2    Σ    U+03A3    0xCEA3    0xA303
0xA6B3    Τ    U+03A4    0xCEA4    0xA403
0xA6B4    Υ    U+03A5    0xCEA5    0xA503
0xA6B5    Φ    U+03A6    0xCEA6    0xA603
0xA6B6    Χ    U+03A7    0xCEA7    0xA703
0xA6B7    Ψ    U+03A8    0xCEA8    0xA803
0xA6B8    Ω    U+03A9    0xCEA9    0xA903
0xA6C1    α    U+03B1    0xCEB1    0xB103
0xA6C2    β    U+03B2    0xCEB2    0xB203
0xA6C3    γ    U+03B3    0xCEB3    0xB303
0xA6C4    δ    U+03B4    0xCEB4    0xB403
0xA6C5    ε    U+03B5    0xCEB5    0xB503
0xA6C6    ζ    U+03B6    0xCEB6    0xB603
0xA6C7    η    U+03B7    0xCEB7    0xB703
0xA6C8    θ    U+03B8    0xCEB8    0xB803
0xA6C9    ι    U+03B9    0xCEB9    0xB903
0xA6CA    κ    U+03BA    0xCEBA    0xBA03
0xA6CB    λ    U+03BB    0xCEBB    0xBB03
0xA6CC    μ    U+03BC    0xCEBC    0xBC03
0xA6CD    ν    U+03BD    0xCEBD    0xBD03
0xA6CE    ξ    U+03BE    0xCEBE    0xBE03
0xA6CF    ο    U+03BF    0xCEBF    0xBF03
0xA6D0    π    U+03C0    0xCF80    0xC003
0xA6D1    ρ    U+03C1    0xCF81    0xC103
0xA6D2    σ    U+03C3    0xCF83    0xC303
0xA6D3    τ    U+03C4    0xCF84    0xC403
0xA6D4    υ    U+03C5    0xCF85    0xC503
0xA6D5    φ    U+03C6    0xCF86    0xC603
0xA6D6    χ    U+03C7    0xCF87    0xC703
0xA6D7    ψ    U+03C8    0xCF88    0xC803
0xA6D8    ω    U+03C9    0xCF89    0xC903
0xA7A1    А    U+0410    0xD090    0x1004
0xA7A2    Б    U+0411    0xD091    0x1104
0xA7A3    В    U+0412    0xD092    0x1204
0xA7A4    Г    U+0413    0xD093    0x1304
